"Тип";"Время";"Наносекунды";"Широта";"Долгота";"Пик";"Высота";"Количествосенсоров"
Облако-земля;"2022-12-02 23:21:46";313777621;41.28589;40.6986;-18718;0;15
Облако-земля;"2022-12-02 23:22:44";624356162;41.36066;40.6415999;-57093;0;17
Облако-земля;"2022-12-02 23:24:01";519989201;41.4035;40.74561;-4500;0;8
Облако-облако;"2022-12-02 23:24:30";320503952;41.27158;40.73595;-4337;3005;8
Облако-земля;"2022-12-02 23:24:30";302238233;41.36268;40.62791;-47658;0;17
Облако-земля;"2022-12-02 23:25:09";524123345;41.29059;40.69644;-33422;0;16
Облако-земля;"2022-12-02 23:25:30";887957459;41.38785;40.72829;-7314;0;12
Облако-земля;"2022-12-02 23:25:31";486858021;41.82942;41.70546;-52871;0;13
Облако-облако;"2022-12-02 23:26:44";611983985;41.34481;40.63732;-20785;4223;11
Облако-земля;"2022-12-02 23:27:58";274661088;41.35365;40.70857;-4304;0;7
Облако-земля;"2022-12-02 23:28:03";728597657;41.98727;39.96916;-5737;0;11
Облако-земля;"2022-12-02 23:28:53";524376806;41.8049;41.72245;32393;0;7
Облако-земля;"2022-12-02 23:29:16";996618505;41.24657;40.62587;-6943;0;11
Облако-земля;"2022-12-02 23:30:14";966699205;41.39141;40.6860799;-19841;0;16
Облако-облако;"2022-12-02 23:30:15";260279628;41.23154;40.62392;-4395;3813;6
Облако-земля;"2022-12-02 23:30:53";738503339;41.22582;40.6251;-7885;0;8
Облако-земля;"2022-12-02 23:32:18";799797437;41.39332;40.68569;-22021;0;15
Облако-земля;"2022-12-02 23:33:10";445838953;41.23193;40.63261;-10021;0;12
Облако-земля;"2022-12-02 23:34:28";506877592;41.38029;40.68433;-22469;0;11
Облако-земля;"2022-12-02 23:35:27";77549587;41.37589;40.67035;-8584;0;13
Облако-облако;"2022-12-02 23:37:21";363749744;41.3838;40.66838;-44187;3016;15
Облако-земля;"2022-12-02 23:37:57";257702317;41.2415499;40.65933;-16429;0;14
Облако-земля;"2022-12-02 23:38:29";966672199;41.38159;40.65934;-21797;0;12
Облако-земля;"2022-12-02 23:41:11";128836719;41.38148;40.69546;-48916;0;16
Облако-земля;"2022-12-02 23:43:15";529941000;41.40849;40.6561;-42991;0;9
Облако-земля;"2022-12-02 23:46:37";733972160;41.35949;40.66962;32587;0;18
Облако-земля;"2022-12-02 23:51:32";212422809;41.66689;41.61263;-45495;0;17
Облако-облако;"2022-12-02 23:51:40";592503172;41.3591399;40.74825;6095;3036;7
Облако-земля;"2022-12-02 23:53:07";157087919;41.35101;40.68101;-26825;0;17
Облако-земля;"2022-12-02 23:53:28";188103848;41.66038;41.62632;-29106;0;18
Облако-земля;"2022-12-02 23:53:57";708769708;41.3288;40.46257;-6414;0;10
Облако-земля;"2022-12-02 23:55:09";658023212;41.29514;40.66344;-18524;0;6
Облако-земля;"2022-12-02 23:56:12";474120671;41.66457;41.6368;-11308;0;13
Облако-земля;"2022-12-02 23:56:39";968193119;41.29637;40.45493;-13101;0;15
Облако-земля;"2022-12-02 23:56:59";175646085;41.36041;40.69269;-11144;0;8
Облако-земля;"2022-12-02 23:56:59";727060413;41.33668;41.484;139877;0;15
Облако-земля;"2022-12-02 23:58:37";978458702;41.31514;40.50934;-29173;0;17
Облако-земля;"2022-12-02 23:58:46";695744069;41.35123;40.69893;-22149;0;13
Облако-облако;"2022-12-02 23:58:46";689760437;41.24792;40.71046;-10894;15049;10
Облако-облако;"2022-12-03 00:00:33";513478816;41.30621;40.48892;-21275;3051;17
Облако-земля;"2022-12-03 00:02:56";910413473;41.34808;40.69602;-80387;0;15
Облако-земля;"2022-12-03 00:03:59";631585715;41.17987;40.8147;-8503;0;12
Облако-облако;"2022-12-03 00:03:59";614685803;41.04155;40.51167;6171;6217;14
Облако-земля;"2022-12-03 00:03:59";512296334;41.08779;40.7631299;47862;0;13
Облако-земля;"2022-12-03 00:04:13";838851878;41.68173;41.65825;-68143;0;19
Облако-земля;"2022-12-03 00:04:14";708867848;41.54383;41.7203;-30267;0;9
Облако-земля;"2022-12-03 00:05:29";261783418;41.3304;40.66793;-23321;0;16
Облако-земля;"2022-12-03 00:05:47";723113491;41.81629;40.17413;-32444;0;15
Облако-облако;"2022-12-03 00:06:28";729928857;41.3318;40.67873;-6751;11749;9
Облако-земля;"2022-12-03 00:08:55";663598757;41.51166;40.45537;-16303;0;14
Облако-земля;"2022-12-03 00:09:44";581604925;41.36195;40.71642;-78863;0;15
Облако-земля;"2022-12-03 00:10:02";776103846;41.02196;40.6034999;-8915;0;12
Облако-облако;"2022-12-03 00:10:11";334900189;41.32929;40.6697599;13964;14511;13
Облако-земля;"2022-12-03 00:11:38";529237000;41.0373;40.6022;-20064;0;8
Облако-облако;"2022-12-03 00:12:37";98102233;41.21907;40.85642;7349;3134;11
Облако-облако;"2022-12-03 00:13:50";369744160;41.33015;40.68438;-9582;6923;13
Облако-земля;"2022-12-03 00:14:37";27196161;41.2181799;40.87426;16670;0;10
Облако-земля;"2022-12-03 00:14:42";717513622;41.3256;40.69612;-19075;0;16
Облако-земля;"2022-12-03 00:14:42";573668409;41.42103;40.82259;-12621;0;13
Облако-облако;"2022-12-03 00:15:25";821504853;41.36444;40.74571;-4794;3024;11
Облако-земля;"2022-12-03 00:16:09";410222000;41.0375;40.6647;-9152;0;6
Облако-облако;"2022-12-03 00:16:09";396331288;41.1393;40.92234;-154356;14014;14
Облако-земля;"2022-12-03 00:16:13";272934948;41.21193;40.86045;-10294;0;12
Облако-земля;"2022-12-03 00:16:13";567599893;41.33221;40.66761;-18687;0;7
Облако-земля;"2022-12-03 00:16:49";409211875;41.32737;40.69408;-10637;0;13
Облако-земля;"2022-12-03 00:17:31";608657800;41.33563;40.71302;-14067;0;15
Облако-земля;"2022-12-03 00:19:25";133695691;41.0368;40.65655;-102472;0;13
Облако-земля;"2022-12-03 00:20:08";53882421;41.25266;40.86817;-63573;0;10
Облако-земля;"2022-12-03 00:20:44";176286671;41.3318299;40.69665;-50560;0;18
Облако-земля;"2022-12-03 00:22:01";232564042;41.0170699;40.65444;39896;0;14
Облако-облако;"2022-12-03 00:22:01";358321040;41.05613;40.40368;-7495;4853;7
Облако-облако;"2022-12-03 00:22:39";173448262;41.32681;40.81253;-8754;11730;13
Облако-земля;"2022-12-03 00:22:39";77823237;41.23507;40.90411;-76186;0;17
Облако-облако;"2022-12-03 00:24:19";258017898;41.36788;40.64492;-25190;15711;10
Облако-земля;"2022-12-03 00:24:56";571120620;41.24102;40.90013;-60430;0;16
Облако-облако;"2022-12-03 00:25:10";343113044;41.16905;40.90267;-9005;18345;12
Облако-облако;"2022-12-03 00:25:55";712389325;41.45435;40.80335;12961;6287;18
Облако-земля;"2022-12-03 00:26:14";840396000;41.3714;40.6255;-9525;0;9
Облако-земля;"2022-12-03 00:26:25";49839000;41.01509;40.5588;-88262;0;8
Облако-земля;"2022-12-03 00:26:25";86891000;41.1282;40.6488;-9432;0;9
Облако-земля;"2022-12-03 00:27:14";302263523;41.3738699;40.66419;20752;0;10
Облако-земля;"2022-12-03 00:27:28";513454630;41.48079;40.7239999;-9750;0;8
Облако-облако;"2022-12-03 00:28:04";279039624;41.35916;40.66248;-23223;10902;12
Облако-земля;"2022-12-03 00:29:03";222548754;41.36462;40.68074;-15560;0;15
Облако-земля;"2022-12-03 00:29:05";291219000;41.4672;40.6652;-10960;0;8
Облако-земля;"2022-12-03 00:29:06";887926771;41.0179199;40.64886;-26032;0;12
Облако-земля;"2022-12-03 00:29:28";636828000;41.262;40.8695;-9007;0;9
Облако-облако;"2022-12-03 00:29:28";663888314;41.33638;40.97227;5926;19642;10
Облако-земля;"2022-12-03 00:29:40";306089000;41.3452;40.6497;-25035;0;7
Облако-земля;"2022-12-03 00:30:11";8433450;41.01142;40.6539;-19655;0;14
Облако-земля;"2022-12-03 00:30:29";734711629;41.01207;40.51056;-14076;0;11
Облако-земля;"2022-12-03 00:30:31";298339530;41.24814;40.57094;-23624;0;15
Облако-земля;"2022-12-03 00:31:14";444070410;41.3675799;40.67875;-27384;0;14
Облако-облако;"2022-12-03 00:31:14";435297682;41.28304;40.86005;-10821;12105;8
Облако-земля;"2022-12-03 00:31:53";841120993;41.02817;40.6577399;-32191;0;10
Облако-земля;"2022-12-03 00:32:03";136952917;41.25385;40.73978;-35999;0;15
Облако-облако;"2022-12-03 00:32:11";649841993;41.00338;40.52719;-5562;17450;12
Облако-облако;"2022-12-03 00:32:12";186994066;41.36654;40.69525;-15996;10615;11
Облако-земля;"2022-12-03 00:32:56";608654222;41.36925;40.68726;-19927;0;16
Облако-земля;"2022-12-03 00:33:14";73489734;41.16903;40.63339;-8315;0;8
Облако-земля;"2022-12-03 00:33:14";27469453;41.0244;40.67411;-13553;0;11
Облако-земля;"2022-12-03 00:33:28";246170424;41.25;40.60364;-22587;0;12
Облако-земля;"2022-12-03 00:33:40";428770968;41.25222;40.74453;-26106;0;14
Облако-облако;"2022-12-03 00:33:40";422509447;41.3488;40.78323;-4965;14712;8
Облако-земля;"2022-12-03 00:34:15";859002414;41.36456;40.69171;-53865;0;11
Облако-облако;"2022-12-03 00:34:16";828574730;41.36484;40.87683;-5309;4108;11
Облако-земля;"2022-12-03 00:34:46";854536000;41.2732;40.707;-27097;0;5
Облако-земля;"2022-12-03 00:35:39";154068280;41.35099;40.7031;-39178;0;15
Облако-земля;"2022-12-03 00:36:02";907644000;41.2774;40.5846;-22000;0;7
